2019-06-23-19:18:52,790 [main]  [org.springframework.core.env.StandardEnvironment] [DEBUG] - Adding [systemProperties] PropertySource with lowest search precedence
2019-06-23-19:18:52,806 [main]  [org.springframework.core.env.StandardEnvironment] [DEBUG] - Adding [systemEnvironment] PropertySource with lowest search precedence
2019-06-23-19:18:52,806 [main]  [org.springframework.core.env.StandardEnvironment] [DEBUG] - Initialized StandardEnvironment with PropertySources [systemProperties,systemEnvironment]
2019-06-23-19:18:52,915 [main]  [org.springframework.context.annotation.AnnotationConfigApplicationContext] [INFO] - Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@2ff4f00f: startup date [Sun Jun 23 19:18:52 CST 2019]; root of context hierarchy
2019-06-23-19:18:52,915 [main]  [org.springframework.context.annotation.AnnotationConfigApplicationContext] [DEBUG] - Bean factory for org.springframework.context.annotation.AnnotationConfigApplicationContext@2ff4f00f: org.springframework.beans.factory.support.DefaultListableBeanFactory@63753b6d: defining beans [org.springframework.context.annotation.internalConfigurationAnnotationProcessor,org.springframework.context.annotation.internalAutowiredAnnotationProcessor,org.springframework.context.annotation.internalRequiredAnnotationProcessor,org.springframework.context.annotation.internalCommonAnnotationProcessor,org.springframework.context.event.internalEventListenerProcessor,org.springframework.context.event.internalEventListenerFactory,mainConfigAppEvent]; root of factory hierarchy
2019-06-23-19:18:52,931 [main]  [org.springframework.beans.factory.support.DefaultListableBeanFactory] [DEBUG] - Creating shared instance of singleton bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor'
2019-06-23-19:18:52,931 [main]  [org.springframework.beans.factory.support.DefaultListableBeanFactory] [DEBUG] - Creating instance of bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor'
2019-06-23-19:18:52,962 [main]  [org.springframework.beans.factory.support.DefaultListableBeanFactory] [DEBUG] - Eagerly caching bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor' to allow for resolving potential circular references
2019-06-23-19:18:52,962 [main]  [org.springframework.beans.factory.support.DefaultListableBeanFactory] [DEBUG] - Finished creating instance of bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor'
2019-06-23-19:18:52,994 [main]  [org.springframework.core.io.support.PathMatchingResourcePatternResolver] [DEBUG] - Resolved classpath location [com/njupt/ApplicationEvent/] to resources [URL [file:/F:/Java/test/SpringTest/target/classes/com/njupt/ApplicationEvent/]]
2019-06-23-19:18:52,994 [main]  [org.springframework.core.io.support.PathMatchingResourcePatternResolver] [DEBUG] - Looking for matching resources in directory tree [F:\Java\test\SpringTest\target\classes\com\njupt\ApplicationEvent]
2019-06-23-19:18:52,994 [main]  [org.springframework.core.io.support.PathMatchingResourcePatternResolver] [DEBUG] - Searching directory [F:\Java\test\SpringTest\target\classes\com\njupt\ApplicationEvent] for files matching pattern [F:/Java/test/SpringTest/target/classes/com/njupt/ApplicationEvent/**/*.class]
2019-06-23-19:18:52,994 [main]  [org.springframework.core.io.support.PathMatchingResourcePatternResolver] [DEBUG] - Resolved location pattern [classpath*:com/njupt/ApplicationEvent/**/*.class] to resources [file [F:\Java\test\SpringTest\target\classes\com\njupt\ApplicationEvent\DemoEvent.class], file [F:\Java\test\SpringTest\target\classes\com\njupt\ApplicationEvent\DemoListener.class], file [F:\Java\test\SpringTest\target\classes\com\njupt\ApplicationEvent\DemoPublisher.class]]
2019-06-23-19:18:53,025 [main]  [org.springframework.context.annotation.ClassPathBeanDefinitionScanner] [DEBUG] - Identified candidate component class: file [F:\Java\test\SpringTest\target\classes\com\njupt\ApplicationEvent\DemoListener.class]
2019-06-23-19:18:53,025 [main]  [org.springframework.context.annotation.ClassPathBeanDefinitionScanner] [DEBUG] - Identified candidate component class: file [F:\Java\test\SpringTest\target\classes\com\njupt\ApplicationEvent\DemoPublisher.class]
2019-06-23-19:18:53,134 [main]  [org.springframework.context.annotation.ConfigurationClassEnhancer] [DEBUG] - Successfully enhanced com.njupt.config.MainConfigAppEvent; enhanced class name is: com.njupt.config.MainConfigAppEvent$$EnhancerBySpringCGLIB$$e90087a2
2019-06-23-19:18:53,134 [main]  [org.springframework.context.annotation.ConfigurationClassPostProcessor] [DEBUG] - Replacing bean definition 'mainConfigAppEvent' existing class 'com.njupt.config.MainConfigAppEvent' with enhanced class 'com.njupt.config.MainConfigAppEvent$$EnhancerBySpringCGLIB$$e90087a2'
2019-06-23-19:18:53,134 [main]  [org.springframework.beans.factory.support.DefaultListableBeanFactory] [DEBUG] - Creating shared instance of singleton bean 'org.springframework.context.annotation.internalAutowiredAnnotationProcessor'
2019-06-23-19:18:53,134 [main]  [org.springframework.beans.factory.support.DefaultListableBeanFactory] [DEBUG] - Creating instance of bean 'org.springframework.context.annotation.internalAutowiredAnnotationProcessor'
2019-06-23-19:18:53,134 [main]  [org.springframework.beans.factory.support.DefaultListableBeanFactory] [DEBUG] - Eagerly caching bean 'org.springframework.context.annotation.internalAutowiredAnnotationProcessor' to allow for resolving potential circular references
2019-06-23-19:18:53,165 [main]  [org.springframework.beans.factory.support.DefaultListableBeanFactory] [DEBUG] - Finished creating instance of bean 'org.springframework.context.annotation.internalAutowiredAnnotationProcessor'
2019-06-23-19:18:53,165 [main]  [org.springframework.beans.factory.support.DefaultListableBeanFactory] [DEBUG] - Creating shared instance of singleton bean 'org.springframework.context.annotation.internalRequiredAnnotationProcessor'
2019-06-23-19:18:53,165 [main]  [org.springframework.beans.factory.support.DefaultListableBeanFactory] [DEBUG] - Creating instance of bean 'org.springframework.context.annotation.internalRequiredAnnotationProcessor'
2019-06-23-19:18:53,165 [main]  [org.springframework.beans.factory.support.DefaultListableBeanFactory] [DEBUG] - Eagerly caching bean 'org.springframework.context.annotation.internalRequiredAnnotationProcessor' to allow for resolving potential circular references
2019-06-23-19:18:53,181 [main]  [org.springframework.beans.factory.support.DefaultListableBeanFactory] [DEBUG] - Finished creating instance of bean 'org.springframework.context.annotation.internalRequiredAnnotationProcessor'
